,Monday_6:30,Monday_7:30,Monday_8:30,Monday_9:30,Tuesday_6:30,Tuesday_7:30,Tuesday_8:30,Tuesday_9:30,Wednesday_6:30,Wednesday_7:30,Wednesday_8:30,Wednesday_9:30,Thursday_6:30,Thursday_7:30,Thursday_8:30,Thursday_9:30
ref1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
ref2,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
ref3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
ref4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
ref5,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
ref6,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
ref7,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0
ref8,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1
ref9,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
ref10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ref11,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
ref12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ref13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
ref14,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
ref15,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
ref16,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
ref17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
ref18,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1
ref19,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0
ref20,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
ref21,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
ref22,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0
ref23,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
ref24,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
ref25,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
ref26,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0
ref27,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
ref28,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ref29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ref30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
ref31,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ref32,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
ref33,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
ref34,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
ref35,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
